Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2023Q1,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,5
Recorded crime incidents,2023Q1,40 Southern Region,Theft and related offences (08),Number,3076
Recorded crime incidents,2023Q1,40 Southern Region,Theft/taking of vehicle and related offences (081),Number,349
Recorded crime incidents,2023Q1,40 Southern Region,Theft from person (0821),Number,31
Recorded crime incidents,2023Q1,40 Southern Region,Theft from shop (0822),Number,1566
Recorded crime incidents,2023Q1,40 Southern Region,"Other thefts, handling stolen property (084)",Number,1130
Recorded crime incidents,2023Q1,40 Southern Region,"Fraud, deception and related offences (09)",Number,550
Recorded crime incidents,2023Q1,40 Southern Region,Controlled drug offences (10),Number,947
Recorded crime incidents,2023Q1,40 Southern Region,Importation of drugs (1011),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,Cultivation or manufacture of drugs (1012),Number,10
Recorded crime incidents,2023Q1,40 Southern Region,Possession of drugs for sale or supply (1021),Number,197
Recorded crime incidents,2023Q1,40 Southern Region,Possession of drugs for personal use (1022),Number,712
Recorded crime incidents,2023Q1,40 Southern Region,Other drug offences (103),Number,28
Recorded crime incidents,2023Q1,40 Southern Region,Weapons and explosives offences (11),Number,128
Recorded crime incidents,2023Q1,40 Southern Region,"Explosives, chemical weapons offences (111)",Number,1
Recorded crime incidents,2023Q1,40 Southern Region,Discharging a firearm (1121),Number,6
Recorded crime incidents,2023Q1,40 Southern Region,Possession of a firearm (1122),Number,8
Recorded crime incidents,2023Q1,40 Southern Region,Offensive weapons offences (n.e.c.) (113),Number,109
Recorded crime incidents,2023Q1,40 Southern Region,Fireworks offences (114),Number,4
Recorded crime incidents,2023Q1,40 Southern Region,Damage to property and to the environment  offences (12),Number,1097
Recorded crime incidents,2023Q1,40 Southern Region,Arson (1211),Number,74
Recorded crime incidents,2023Q1,40 Southern Region,Criminal damage (not arson) (1212),Number,1013
Recorded crime incidents,2023Q1,40 Southern Region,Litter offences (1221),Number,10
Recorded crime incidents,2023Q1,40 Southern Region,Public order and other social code offences (13),Number,1657
Recorded crime incidents,2023Q1,40 Southern Region,Disorderly conduct (131),Number,1383
Recorded crime incidents,2023Q1,40 Southern Region,Trespass offences (132),Number,101
Recorded crime incidents,2023Q1,40 Southern Region,Liquor licensing offences (133),Number,20
Recorded crime incidents,2023Q1,40 Southern Region,Prostitution offences (134),Number,12
Recorded crime incidents,2023Q1,40 Southern Region,"Regulated betting/money, collection/trading offences (135)",Number,2
Recorded crime incidents,2023Q1,40 Southern Region,Social code offences (n.e.c.) (136),Number,139
Recorded crime incidents,2023Q1,40 Southern Region,Road and traffic offences (14),Number,2319
Recorded crime incidents,2023Q1,40 Southern Region,"Driving licence-failure to have, produce, etc. (1411)",Number,166
Recorded crime incidents,2023Q1,40 Southern Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,380
Recorded crime incidents,2023Q1,40 Southern Region,Vehicle tax/registration offences (142),Number,532
Recorded crime incidents,2023Q1,40 Southern Region,Roadworthiness/regulatory offences (143),Number,36
Recorded crime incidents,2023Q1,40 Southern Region,Obstruction under Road Traffic Acts (1432),Number,6
Recorded crime incidents,2023Q1,40 Southern Region,Other road offences (1433),Number,1142
Recorded crime incidents,2023Q1,40 Southern Region,Road transport - carriage of goods offences (1441),Number,25
Recorded crime incidents,2023Q1,40 Southern Region,Public service vehicle offences (1442),Number,32
Recorded crime incidents,2023Q1,40 Southern Region,Light rail offences (Luas) (1443),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,"Offences against government, justice procedures and organisation of crime (15)",Number,783
Recorded crime incidents,2023Q1,40 Southern Region,Offences against government and its agents (151),Number,97
Recorded crime incidents,2023Q1,40 Southern Region,Organisation of crime and conspiracy to commit crime (152),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,Perverting the course of justice (153),Number,11
Recorded crime incidents,2023Q1,40 Southern Region,"Offences while in custody, breach of court orders (157)",Number,675
Recorded crime incidents,2023Q1,40 Southern Region,Offences not elsewhere classified (16),Number,120
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Homicide & related offences (01),Number,4
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Murder (0111),Number,3
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Manslaughter (0112),Number,0
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Infanticide (0113),Number,0
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Dangerous driving leading to death (012),Number,1
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Sexual offences (02),Number,281
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Rape and sexual assault (021),Number,245
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Other sexual offences (022),Number,36
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences (03)",Number,1992
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Murder-attempt (0311),Number,2
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Threat to kill or cause serious harm (0313),Number,158
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Harassment and related offences (033),Number,134
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Assault causing harm, poisoning (034)",Number,543
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Other assault (035),Number,1155
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Dangerous or negligent acts (04),Number,1588
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm (0411),Number,2
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412,0413)",Number,327
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit (0412),Number,243
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs (0413),Number,84
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Dangerous/careless driving and motorway offences (0414),Number,283
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Speeding (0415),Number,903
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death (0421),Number,13
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty (0422)",Number,22
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities (0424),Number,5
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Endangering traffic offences (0425),Number,33
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Kidnapping and related offences (05),Number,17
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,False imprisonment (0511),Number,13
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Abduction of person under 16 years of age (0512),Number,1
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Human trafficking offences (0513),Number,3
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences (06)",Number,332
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Robbery of an establishment or institution (0611),Number,76
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Robbery of cash or goods in transit (0612),Number,1
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Robbery from the person (0613),Number,172
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Blackmail or extortion (0621),Number,69
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,14
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Burglary and related offences (07),Number,899
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Aggravated burglary (0711),Number,31
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Burglary (not aggravated) (0712),Number,823
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand) (0713)",Number,45
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Theft and related offences (08),Number,9396
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences (081),Number,1116
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Theft from person (0821),Number,682
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Theft from shop (0822),Number,3098
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Other thefts, handling stolen property (084)",Number,4500
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Fraud, deception and related offences (09)",Number,1049
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Controlled drug offences (10),Number,1713
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Importation of drugs (1011),Number,9
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs (1012),Number,2
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Possession of drugs for sale or supply (1021),Number,680
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Possession of drugs for personal use (1022),Number,921
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Other drug offences (103),Number,101
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Weapons and explosives offences (11),Number,293
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences (111)",Number,3
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Discharging a firearm (1121),Number,10
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Possession of a firearm (1122),Number,28
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.) (113),Number,251
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Fireworks offences (114),Number,1
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Damage to property and to the environment  offences (12),Number,2245
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Arson (1211),Number,154
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Criminal damage (not arson) (1212),Number,2080
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Litter offences (1221),Number,11
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Public order and other social code offences (13),Number,2497
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Disorderly conduct (131),Number,2029
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Trespass offences (132),Number,322
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Liquor licensing offences (133),Number,2
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Prostitution offences (134),Number,1
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences (135)",Number,6
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Social code offences (n.e.c.) (136),Number,137
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Road and traffic offences (14),Number,3274
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Driving licence-failure to have, produce, etc. (1411)",Number,236
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Insurance-failure to have, produce, display, etc. (1412)",Number,447
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Vehicle tax/registration offences (142),Number,484
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Roadworthiness/regulatory offences (143),Number,4
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Obstruction under Road Traffic Acts (1432),Number,4
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Other road offences (1433),Number,1960
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Road transport - carriage of goods offences (1441),Number,9
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Public service vehicle offences (1442),Number,128
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,Light rail offences (Luas) (1443),Number,2
Recorded crime incidents,2023Q2,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime (15)",Number,2207
