Statistic Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2023Q1,40 Southern Region,"Abandoning a child, child neglect and cruelty (0422)",Number,13
Recorded crime incidents,2023Q1,40 Southern Region,Unseaworthy/dangerous use of boat or ship (0423),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,False alarm/interference with aircraft or air transport facilities (0424),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,Endangering traffic offences (0425),Number,14
Recorded crime incidents,2023Q1,40 Southern Region,Kidnapping and related offences (05),Number,6
Recorded crime incidents,2023Q1,40 Southern Region,False imprisonment (0511),Number,5
Recorded crime incidents,2023Q1,40 Southern Region,Abduction of person under 16 years of age (0512),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,Human trafficking offences (0513),Number,1
Recorded crime incidents,2023Q1,40 Southern Region,"Robbery, extortion and hijacking offences (06)",Number,111
Recorded crime incidents,2023Q1,40 Southern Region,Robbery of an establishment or institution (0611),Number,11
Recorded crime incidents,2023Q1,40 Southern Region,Robbery of cash or goods in transit (0612),Number,0
Recorded crime incidents,2023Q1,40 Southern Region,Robbery from the person (0613),Number,36
Recorded crime incidents,2023Q1,40 Southern Region,Blackmail or extortion (0621),Number,60
Recorded crime incidents,2023Q1,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",Number,4
Recorded crime incidents,2023Q1,40 Southern Region,Burglary and related offences (07),Number,347
Recorded crime incidents,2023Q1,40 Southern Region,Aggravated burglary (0711),Number,7
Recorded crime incidents,2023Q1,40 Southern Region,Burglary (not aggravated) (0712),Number,335
